Product,Sale Price,Regular Price
Moto X2,"Rs. 1,499.00","Rs. 3,599.00"
Victory Lanes,"Rs. 1,499.00","Rs. 3,599.00"
Highlands,"Rs. 1,499.00","Rs. 3,599.00"
OUTLAWS,"Rs. 1,699.00","Rs. 3,599.00"
Moto X2,"Rs. 1,499.00","Rs. 3,599.00"
Moto X2,"Rs. 1,499.00","Rs. 3,599.00"
Moto X2,"Rs. 1,499.00","Rs. 3,599.00"
Moto X2,"Rs. 1,499.00","Rs. 3,599.00"
Westcraft,"Rs. 1,499.00","Rs. 3,599.00"
Nesta,"Rs. 1,699.00","Rs. 3,599.00"
Woodies,"Rs. 1,699.00","Rs. 3,599.00"
Moto X2,"Rs. 1,499.00","Rs. 3,599.00"
Mare Blu,"Rs. 1,699.00","Rs. 3,599.00"
Mount Rogers,"Rs. 1,999.00","Rs. 3,599.00"
Victory Lanes,"Rs. 1,499.00","Rs. 3,599.00"
Mount Rogers,"Rs. 1,499.00","Rs. 3,599.00"
Moto X2,"Rs. 1,499.00","Rs. 3,599.00"
Vulcans,"Rs. 2,499.00","Rs. 4,999.00"
Hamptons,"Rs. 1,499.00","Rs. 3,599.00"
Moto X2,"Rs. 1,499.00","Rs. 3,599.00"
Moto X2,"Rs. 1,499.00","Rs. 3,599.00"
Millenia,"Rs. 1,699.00","Rs. 3,599.00"
Moto X2,"Rs. 1,499.00","Rs. 3,599.00"
Moto X2,"Rs. 1,699.00","Rs. 3,599.00"
Moto X2,"Rs. 1,499.00","Rs. 3,599.00"
OUTLAWS,"Rs. 1,699.00","Rs. 3,599.00"
Hamiltons,"Rs. 1,499.00","Rs. 3,599.00"
Zephyrs,"Rs. 1,999.00","Rs. 3,599.00"
Moto X2,"Rs. 1,499.00","Rs. 3,599.00"
Vanguards,"Rs. 1,699.00","Rs. 3,599.00"
Moto X2,"Rs. 1,499.00","Rs. 3,599.00"
Woodies,"Rs. 1,699.00","Rs. 3,599.00"
Woodies,"Rs. 1,699.00","Rs. 3,599.00"
Yacht Club,"Rs. 1,499.00","Rs. 3,599.00"
Woodies,"Rs. 1,699.00","Rs. 3,599.00"
Woodies,"Rs. 1,699.00","Rs. 3,599.00"
Woodies,"Rs. 1,699.00","Rs. 3,599.00"
Bolt,Rs. 999.00,"Rs. 3,599.00"
Vanguards,"Rs. 1,699.00","Rs. 3,599.00"
S'TRACK,"Rs. 1,499.00","Rs. 3,599.00"
Runway,"Rs. 1,699.00","Rs. 3,599.00"
Runway,"Rs. 1,999.00","Rs. 3,599.00"
Glendale,"Rs. 1,699.00","Rs. 3,599.00"
Glendale,"Rs. 1,699.00","Rs. 3,599.00"
Dash,"Rs. 1,499.00","Rs. 3,599.00"
Classics,"Rs. 1,499.00","Rs. 3,599.00"
Vanguards,"Rs. 1,699.00","Rs. 3,599.00"
Yacht Club,"Rs. 1,499.00","Rs. 3,599.00"
Classics,"Rs. 1,499.00","Rs. 3,599.00"
OUTLAWS,"Rs. 1,499.00","Rs. 3,599.00"
West Ridge,"Rs. 1,499.00","Rs. 3,599.00"
OUTSPEED,"Rs. 1,699.00","Rs. 3,599.00"
Vero,"Rs. 1,499.00","Rs. 3,599.00"
